Tiempo (s),Altitud (m)
0.01,-4.419e-4
0.02,-3.451e-4
0.03,-2.483e-4
0.04,-1.515e-4
0.05,2.323e-5
0.06,3.813e-4
0.07,0.002
0.08,0.004
0.09,0.009
0.1,0.017
0.11,0.028
0.12,0.044
0.13,0.065
0.14,0.092
0.15,0.126
0.16,0.168
0.17,0.219
0.18,0.281
0.19,0.353
0.2,0.438
0.21,0.536
0.22,0.642
0.228,0.747
0.236,0.851
0.243,0.954
0.25,1.057
0.259,1.213
0.269,1.37
0.278,1.531
0.287,1.696
0.297,1.868
0.306,2.049
0.316,2.239
0.327,2.437
0.337,2.649
0.349,2.879
0.361,3.138
0.377,3.465
0.4,3.97
0.435,4.757
0.458,5.297
0.471,5.618
0.482,5.877
0.491,6.106
0.5,6.318
0.508,6.517
0.516,6.71
0.523,6.898
0.53,7.085
0.538,7.271
0.545,7.458
0.552,7.648
0.56,7.843
0.567,8.043
0.575,8.251
0.583,8.472
0.592,8.711
0.602,8.977
0.613,9.29
0.628,9.706
0.651,10.34
0.684,11.311
0.694,11.611
0.703,11.86
0.711,12.086
0.718,12.303
0.725,12.515
0.73,12.65
0.737,12.851
0.744,13.063
0.752,13.279
0.76,13.502
0.768,13.731
0.776,13.97
0.785,14.226
0.795,14.507
0.806,14.829
0.821,15.249
0.844,15.873
0.878,16.797
0.892,17.196
0.904,17.516
0.915,17.803
0.925,18.075
0.935,18.339
0.945,18.601
0.955,18.865
0.965,19.136
0.976,19.418
0.988,19.72
1.001,20.054
1.016,20.446
1.038,20.989
1.07,21.793
1.118,22.978
1.135,23.392
1.15,23.752
1.164,24.086
1.177,24.404
1.191,24.716
1.204,25.033
1.219,25.372
1.237,25.784
1.262,26.373
1.301,27.241
1.351,28.339
1.394,29.261
1.43,30.007
1.459,30.608
1.49,31.244
1.537,32.178
1.587,33.143
1.637,34.081
1.687,34.992
1.737,35.876
1.785,36.686
1.835,37.518
1.885,38.323
1.935,39.102
1.985,39.855
2.035,40.581
2.085,41.282
2.135,41.956
2.185,42.604
2.235,43.227
2.285,43.824
2.335,44.396
2.385,44.942
2.435,45.462
2.485,45.958
2.535,46.428
2.585,46.873
2.635,47.293
2.685,47.688
2.735,48.059
2.785,48.404
2.835,48.724
2.885,49.02
2.935,49.291
2.985,49.537
3.035,49.759
3.085,49.957
3.135,50.13
3.185,50.278
3.235,50.402
3.285,50.502
3.335,50.578
3.385,50.63
3.435,50.658
3.485,50.662
3.535,50.642
3.585,50.598
3.635,50.53
3.685,50.438
3.73,50.333
3.733,50.327
3.734,50.324
3.812,50.108
3.89,49.869
3.978,49.577
4.073,49.236
4.175,48.85
4.303,48.346
4.445,47.768
4.61,47.087
5.11,45.002
5.61,42.921
6.11,40.832
6.61,38.752
7.11,36.663
7.441,35.28
7.738,34.047
8.172,32.238
8.646,30.262
9.146,28.181
9.646,26.094
10.146,24.016
10.646,21.926
11.146,19.854
11.385,18.874
11.62,17.896
12.12,15.814
12.62,13.733
13.12,11.65
13.62,9.569
14.12,7.485
14.62,5.405
15.12,3.322
15.62,1.244
15.92,0
