Tiempo (s),Distancia lateral (m)
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.228,0
0.236,0
0.243,0
0.25,0
0.259,9.413e-5
0.269,3.613e-4
0.278,7.888e-4
0.287,0.001
0.297,0.002
0.306,0.003
0.316,0.004
0.327,0.005
0.337,0.006
0.349,0.008
0.361,0.009
0.377,0.011
0.4,0.012
0.435,0.012
0.458,0.009
0.471,0.005
0.482,0.002
0.491,0.002
0.5,0.006
0.508,0.01
0.516,0.014
0.523,0.019
0.53,0.023
0.538,0.029
0.545,0.035
0.552,0.041
0.56,0.047
0.567,0.055
0.575,0.063
0.583,0.071
0.592,0.081
0.602,0.093
0.613,0.107
0.628,0.127
0.651,0.16
0.684,0.21
0.694,0.226
0.703,0.239
0.711,0.251
0.718,0.262
0.725,0.273
0.73,0.28
0.737,0.29
0.744,0.301
0.752,0.312
0.76,0.323
0.768,0.334
0.776,0.346
0.785,0.358
0.795,0.372
0.806,0.387
0.821,0.407
0.844,0.436
0.878,0.48
0.892,0.5
0.904,0.515
0.915,0.53
0.925,0.544
0.935,0.557
0.945,0.571
0.955,0.585
0.965,0.599
0.976,0.615
0.988,0.631
1.001,0.65
1.016,0.672
1.038,0.703
1.07,0.749
1.118,0.818
1.135,0.841
1.15,0.862
1.164,0.881
1.177,0.899
1.191,0.916
1.204,0.934
1.219,0.953
1.237,0.976
1.262,1.008
1.301,1.056
1.351,1.117
1.394,1.17
1.43,1.214
1.459,1.25
1.49,1.289
1.537,1.348
1.587,1.411
1.637,1.473
1.687,1.534
1.737,1.595
1.785,1.65
1.835,1.709
1.885,1.767
1.935,1.824
1.985,1.882
2.035,1.939
2.085,1.996
2.135,2.053
2.185,2.109
2.235,2.165
2.285,2.22
2.335,2.275
2.385,2.33
2.435,2.384
2.485,2.437
2.535,2.49
2.585,2.542
2.635,2.593
2.685,2.645
2.735,2.695
2.785,2.745
2.835,2.795
2.885,2.845
2.935,2.894
2.985,2.942
3.035,2.99
3.085,3.037
3.135,3.083
3.185,3.129
3.235,3.175
3.285,3.22
3.335,3.263
3.385,3.307
3.435,3.349
3.485,3.391
3.535,3.432
3.585,3.473
3.635,3.514
3.685,3.554
3.73,3.59
3.733,3.592
3.734,3.593
3.812,3.64
3.89,3.657
3.978,3.646
4.073,3.602
4.175,3.522
4.303,3.384
4.445,3.196
4.61,2.95
5.11,2.096
5.61,1.074
6.11,0.026
6.61,1.079
7.11,2.028
7.441,2.658
7.738,3.263
8.172,4.191
8.646,5.216
9.146,6.294
9.646,7.356
10.146,8.363
10.646,9.408
11.146,10.554
11.385,11.097
11.62,11.582
12.12,12.55
12.62,13.554
13.12,14.666
13.62,15.78
14.12,16.865
14.62,17.957
15.12,18.984
15.62,19.984
15.92,20.596
