Tiempo (s),Empuje (N)
0.01,0.062
0.02,0.187
0.03,0.312
0.04,0.437
0.05,0.662
0.06,1.034
0.07,1.407
0.08,1.779
0.09,2.179
0.1,2.689
0.11,3.21
0.12,3.732
0.13,4.258
0.14,4.858
0.15,5.482
0.16,6.107
0.17,6.737
0.18,7.415
0.19,8.105
0.2,8.736
0.21,9.221
0.22,9.485
0.228,9.655
0.236,9.209
0.243,8.346
0.25,7.299
0.259,6.054
0.269,4.82
0.278,4.03
0.287,3.618
0.297,3.453
0.306,3.284
0.316,3.167
0.327,3.095
0.337,3.02
0.349,2.941
0.361,2.856
0.377,2.756
0.4,2.618
0.435,2.475
0.458,2.414
0.471,2.377
0.482,2.362
0.491,2.352
0.5,2.343
0.508,2.335
0.516,2.327
0.523,2.32
0.53,2.312
0.538,2.31
0.545,2.317
0.552,2.326
0.56,2.334
0.567,2.342
0.575,2.351
0.583,2.36
0.592,2.369
0.602,2.371
0.613,2.371
0.628,2.371
0.651,2.322
0.684,1.767
0.694,0.96
0.703,0.611
0.711,0.386
0.718,0.26
0.725,0.137
0.73,0.038
0.737,0
0.744,0
0.752,0
0.76,0
0.768,0
0.776,0
0.785,0
0.795,0
0.806,0
0.821,0
0.844,0
0.878,0
0.892,0
0.904,0
0.915,0
0.925,0
0.935,0
0.945,0
0.955,0
0.965,0
0.976,0
0.988,0
1.001,0
1.016,0
1.038,0
1.07,0
1.118,0
1.135,0
1.15,0
1.164,0
1.177,0
1.191,0
1.204,0
1.219,0
1.237,0
1.262,0
1.301,0
1.351,0
1.394,0
1.43,0
1.459,0
1.49,0
1.537,0
1.587,0
1.637,0
1.687,0
1.737,0
1.785,0
1.835,0
1.885,0
1.935,0
1.985,0
2.035,0
2.085,0
2.135,0
2.185,0
2.235,0
2.285,0
2.335,0
2.385,0
2.435,0
2.485,0
2.535,0
2.585,0
2.635,0
2.685,0
2.735,0
2.785,0
2.835,0
2.885,0
2.935,0
2.985,0
3.035,0
3.085,0
3.135,0
3.185,0
3.235,0
3.285,0
3.335,0
3.385,0
3.435,0
3.485,0
3.535,0
3.585,0
3.635,0
3.685,0
3.73,0
3.733,0
3.734,0
3.812,0
3.89,0
3.978,0
4.073,0
4.175,0
4.303,0
4.445,0
4.61,0
5.11,0
5.61,0
6.11,0
6.61,0
7.11,0
7.441,0
7.738,0
8.172,0
8.646,0
9.146,0
9.646,0
10.146,0
10.646,0
11.146,0
11.385,0
11.62,0
12.12,0
12.62,0
13.12,0
13.62,0
14.12,0
14.62,0
15.12,0
15.62,0
15.92,0
