
pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_bmasse,pl_orbeccen,pl_eqt,sy_gaiamag
11 Com b,0,2,1,Radial Velocity,2007,,5434.70000,,,4.4403800
11 Com b,0,2,1,Radial Velocity,2007,326.03000000,6165.60000,0.231000,,4.4403800
11 Com b,1,2,1,Radial Velocity,2007,323.21000000,4914.89849,0.238000,,4.4403800
11 UMi b,1,1,1,Radial Velocity,2009,516.21997000,4684.81420,0.080000,,4.5621600
11 UMi b,0,1,1,Radial Velocity,2009,,3432.40000,,,4.5621600
11 UMi b,0,1,1,Radial Velocity,2009,516.22000000,3337.07000,0.080000,,4.5621600
14 And b,1,1,1,Radial Velocity,2008,186.76000000,1131.15130,0.000000,,4.9178100
14 And b,0,1,1,Radial Velocity,2008,,1017.00000,,,4.9178100
14 And b,0,1,1,Radial Velocity,2008,185.84000000,1525.50000,0.000000,,4.9178100
14 Her b,0,1,2,Radial Velocity,2002,1773.40000000,1474.67000,0.369000,,6.3830000
14 Her b,0,1,2,Radial Velocity,2002,1766.00000000,1581.13800,0.359000,,6.3830000
14 Her b,1,1,2,Radial Velocity,2002,1765.03890000,2559.47216,0.373000,,6.3830000
14 Her b,0,1,2,Radial Velocity,2002,1773.40002000,1481.08780,0.370000,,6.3830000
14 Her b,0,1,2,Radial Velocity,2002,1796.40000000,1506.45000,0.338000,,6.3830000
14 Her b,0,1,2,Radial Velocity,2002,1766.41000000,1541.46777,0.367400,,6.3830000
14 Her b,0,1,2,Radial Velocity,2002,1724.00000000,1554.12000,0.370000,,6.3830000
14 Her b,0,1,2,Radial Velocity,2002,,1440.66300,0.357000,,6.3830000
16 Cyg B b,0,3,1,Radial Velocity,1996,799.45000000,556.83537,0.683200,,6.0642800
16 Cyg B b,0,3,1,Radial Velocity,1996,798.50000000,533.95440,0.681000,,6.0642800
16 Cyg B b,0,3,1,Radial Velocity,1996,800.80000000,476.70000,0.634000,,6.0642800
16 Cyg B b,0,3,1,Radial Velocity,1996,799.50000000,533.93000,0.689000,,6.0642800
16 Cyg B b,0,3,1,Radial Velocity,1996,799.50000000,533.93000,0.689000,,6.0642800
16 Cyg B b,1,3,1,Radial Velocity,1996,798.50000000,565.73740,0.680000,,6.0642800
17 Sco b,1,1,1,Radial Velocity,2020,578.38000000,1373.01872,0.060000,,4.7542900
18 Del b,0,2,1,Radial Velocity,2008,993.30000000,3273.50000,0.080000,,5.2747600
18 Del b,1,2,1,Radial Velocity,2008,982.85000000,2926.24614,0.024000,,5.2747600
18 Del b,0,2,1,Radial Velocity,2008,,3127.30000,,,5.2747600
1RXS J160929.1-210524 b,0,1,1,Imaging,2008,,4000.00000,,1700,12.0572000
1RXS J160929.1-210524 b,1,1,1,Imaging,2008,,3000.00000,,1700,12.0572000
1RXS J160929.1-210524 b,0,1,1,Imaging,2008,,3000.00000,,1800,12.0572000
1RXS J160929.1-210524 b,0,1,1,Imaging,2008,,2543.00000,,1800,12.0572000
24 Boo b,1,1,1,Radial Velocity,2018,30.33000000,280.64248,0.032000,,5.3339000
