# Simulation 1 (Up to date)
# 190 data points written for 2 variables.
#
# Tiempo (s),Velocidad vertical (m/s)
0.01,-0.088
0.02,-0.069
0.03,-0.05
0.04,-0.03
0.05,0.005
0.06,0.067
0.07,0.187
0.08,0.365
0.09,0.606
0.1,0.925
0.11,1.326
0.12,1.809
0.13,2.373
0.14,3.032
0.15,3.789
0.16,4.645
0.17,5.599
0.18,6.662
0.19,7.834
0.2,9.107
0.21,10.458
0.22,11.793
0.228,13
0.236,14.042
0.243,14.91
0.25,15.616
0.259,16.458
0.269,17.077
0.278,17.572
0.287,18.007
0.297,18.426
0.306,18.831
0.316,19.227
0.327,19.621
0.337,20.021
0.349,20.432
0.361,20.866
0.377,21.379
0.4,22.096
0.435,23.084
0.458,23.709
0.471,24.064
0.482,24.342
0.491,24.584
0.5,24.802
0.508,25.005
0.516,25.198
0.523,25.385
0.53,25.567
0.538,25.747
0.545,25.927
0.552,26.11
0.56,26.297
0.567,26.489
0.575,26.688
0.583,26.899
0.592,27.128
0.602,27.38
0.613,27.675
0.628,28.063
0.651,28.631
0.684,29.199
0.694,29.233
0.703,29.212
0.711,29.165
0.718,29.105
0.725,29.032
0.73,28.978
0.737,28.893
0.744,28.803
0.752,28.712
0.76,28.617
0.768,28.519
0.776,28.417
0.785,28.307
0.795,28.186
0.806,28.047
0.821,27.866
0.844,27.593
0.878,27.182
0.892,27.002
0.904,26.857
0.915,26.726
0.925,26.601
0.935,26.48
0.945,26.359
0.955,26.237
0.965,26.111
0.976,25.98
0.988,25.84
1.001,25.685
1.016,25.502
1.038,25.248
1.07,24.872
1.118,24.314
1.135,24.117
1.15,23.945
1.164,23.785
1.177,23.631
1.191,23.48
1.204,23.326
1.219,23.16
1.237,22.957
1.262,22.664
1.301,22.226
1.351,21.661
1.394,21.176
1.43,20.777
1.459,20.45
1.49,20.101
1.537,19.581
1.587,19.032
1.637,18.488
1.687,17.948
1.737,17.411
1.785,16.908
1.835,16.376
1.885,15.845
1.935,15.317
1.985,14.79
2.035,14.266
2.085,13.745
2.135,13.227
2.185,12.711
2.235,12.197
2.285,11.685
2.335,11.174
2.385,10.666
2.435,10.16
2.485,9.657
2.535,9.154
2.585,8.652
2.635,8.152
2.685,7.652
2.735,7.154
2.785,6.657
2.835,6.161
2.885,5.667
2.935,5.174
2.985,4.682
3.035,4.192
3.085,3.703
3.135,3.215
3.185,2.728
3.235,2.243
3.285,1.76
3.335,1.278
3.385,0.798
3.435,0.32
3.485,-0.157
3.535,-0.642
3.585,-1.125
3.635,-1.606
3.685,-2.085
3.73,-2.518
3.733,-2.542
3.734,-2.547
3.812,-2.921
3.89,-3.219
3.978,-3.48
4.073,-3.696
4.175,-3.865
4.303,-4.008
4.445,-4.099
4.61,-4.151
5.11,-4.189
5.61,-4.136
6.11,-4.218
6.61,-4.103
7.11,-4.253
7.441,-4.112
7.738,-4.192
8.172,-4.14
8.646,-4.201
9.146,-4.122
9.646,-4.225
10.146,-4.089
10.646,-4.269
11.146,-4.019
11.385,-4.162
11.62,-4.165
12.12,-4.166
12.62,-4.157
13.12,-4.176
13.62,-4.149
14.12,-4.186
14.62,-4.135
15.12,-4.195
15.62,-4.117
15.92,-4.181
